productCode,productName,productScale,estimatedLength(in),estimatedWidth(in),estimatedHeight(in),estimatedFootprint(sq.ft),estimatedVolume(cu.ft)
S700_2047,HMS Bounty,1:700,,,,,
S700_2466,America West Airlines B757-200,1:700,,,,,
S700_2610,The USS Constitution Ship,1:700,,,,,
S700_2824,1982 Camaro Z28,1:18,,,,,
S700_2834,ATA: B757-300,1:700,,,,,
S700_3167,F/A 18 Hornet 1/72,1:72,,,,,
S700_3505,The Titanic,1:700,,,,,
S700_3962,The Queen Mary,1:700,,,,,
S700_4002,American Airlines: MD-11S,1:700,,,,,
S72_1253,Boeing X-32A JSF,1:72,,,,,
S72_3212,Pont Yacht,1:72,,,,,
