productCode,productName,productScale,estimatedLength(in),estimatedWidth(in),estimatedHeight(in),estimatedFootprint(sq.ft),estimatedVolume(cu.ft)
S18_4027,1970 Triumph Spitfire,1:18,10.0,4.0,3.11,0.2778,0.072
S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,1:18,10.0,4.0,3.11,0.2778,0.072
S18_4522,1904 Buick Runabout,1:18,10.0,4.0,3.11,0.2778,0.072
S18_4600,1940s Ford truck,1:18,13.33,5.33,4.33,0.4938,0.1783
S18_4668,1939 Cadillac Limousine,1:18,10.0,4.0,3.11,0.2778,0.072
S18_4721,1957 Corvette Convertible,1:18,10.56,4.17,3.22,0.3054,0.082
S18_4933,1957 Ford Thunderbird,1:18,10.56,4.17,3.22,0.3054,0.082
S24_1046,1970 Chevy Chevelle SS 454,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_1444,1970 Dodge Coronet,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_1578,1997 BMW R 1100 S,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_1628,1966 Shelby Cobra 427 S/C,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_1785,1928 British Royal Navy Airplane,1:24,5.0,5.0,1.67,0.1736,0.0241
S24_1937,1939 Chevrolet Deluxe Coupe,1:24,7.29,2.83,2.17,0.1435,0.0259
S24_2000,1960 BSA Gold Star DBD34,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_2011,18th century schooner,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_2022,1938 Cadillac V-16 Presidential Limousine,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_2300,1962 Volkswagen Microbus,1:24,7.08,2.83,2.29,0.1394,0.0266
S24_2360,1982 Ducati 900 Monster,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_2766,1949 Jaguar XK 120,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_2840,1958 Chevy Corvette Limited Edition,1:24,8.33,3.25,2.58,0.1881,0.0405
S24_2841,1900s Vintage Bi-Plane,1:24,5.0,5.0,1.67,0.1736,0.0241
S24_2887,1952 Citroen-15CV,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_2972,1982 Lamborghini Diablo,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_3151,1912 Ford Model T Delivery Wagon,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_3191,1969 Chevrolet Camaro Z28,1:24,7.71,3.17,2.38,0.1695,0.0335
S24_3371,1971 Alpine Renault 1600s,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_3420,1937 Horch 930V Limousine,1:24,6.88,2.92,2.46,0.1393,0.0285
S24_3432,2002 Chevy Corvette,1:24,7.5,3.17,2.42,0.1649,0.0332
S24_3816,1940 Ford Delivery Sedan,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_3856,1956 Porsche 356A Coupe,1:18,9.72,3.78,2.89,0.2551,0.0614
S24_3949,Corsair F4U ( Bird Cage),1:24,7.5,3.0,2.33,0.1562,0.0304
S24_3969,1936 Mercedes Benz 500k Roadster,1:24,6.75,2.83,2.42,0.1328,0.0267
S24_4048,1992 Porsche Cayenne Turbo Silver,1:24,7.5,3.0,2.33,0.1562,0.0304
S24_4258,1936 Chrysler Airflow,1:24,6.75,2.83,2.42,0.1328,0.0267
S24_4278,1900s Vintage Tri-Plane,1:24,5.0,5.0,1.67,0.1736,0.0241
S24_4620,1961 Chevrolet Impala,1:18,10.0,4.0,3.11,0.2778,0.072
S32_1268,1980’s GM Manhattan Express,1:32,5.47,2.25,1.69,0.0854,0.012
S32_1374,1997 BMW F650 ST,1:32,5.62,2.25,1.75,0.0879,0.0128
S32_2206,1982 Ducati 996 R,1:32,5.62,2.25,1.75,0.0879,0.0128
S32_2509,1954 Greyhound Scenicruiser,1:32,5.62,2.25,1.75,0.0879,0.0128
S32_3207,1950's Chicago Surface Lines Streetcar,1:32,5.62,2.25,1.75,0.0879,0.0128
S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,1:32,4.84,1.94,1.5,0.0652,0.0081
S32_4289,1928 Ford Phaeton Deluxe,1:32,5.62,2.25,1.75,0.0879,0.0128
S32_4485,1974 Ducati 350 Mk3 Desmo,1:32,5.62,2.25,1.75,0.0879,0.0128
S50_1341,1930 Buick Marquette Phaeton,1:50,3.6,1.44,1.12,0.036,0.0034
S50_1392,Diamond T620 Semi-Skirted Tanker,1:50,3.6,1.44,1.12,0.036,0.0034
S50_1514,1962 City of Detroit Streetcar,1:50,3.4,1.36,1.1,0.0321,0.0029
S50_4713,2002 Yamaha YZR M1,1:50,3.6,1.52,1.16,0.038,0.0037
S700_1138,The Schooner Bluenose,1:700,0.26,0.1,0.08,0.0002,0.0
S700_1691,American Airlines: B767-300,1:700,0.26,0.1,0.08,0.0002,0.0
S700_1938,The Mayflower,1:700,0.26,0.1,0.08,0.0002,0.0
S700_2047,HMS Bounty,1:700,0.26,0.1,0.08,0.0002,0.0
S700_2466,America West Airlines B757-200,1:700,0.26,0.1,0.08,0.0002,0.0
S700_2610,The USS Constitution Ship,1:700,0.29,0.07,0.11,0.0001,0.0
S700_2824,1982 Camaro Z28,1:18,10.0,4.0,3.11,0.2778,0.072
S700_2834,ATA: B757-300,1:700,0.26,0.1,0.08,0.0002,0.0
S700_3167,F/A 18 Hornet 1/72,1:72,2.5,1.0,0.78,0.0174,0.0011
S700_3505,The Titanic,1:700,1.26,0.13,0.15,0.0011,0.0
S700_3962,The Queen Mary,1:700,0.26,0.1,0.08,0.0002,0.0
S700_4002,American Airlines: MD-11S,1:700,0.26,0.1,0.08,0.0002,0.0
S72_1253,Boeing X-32A JSF,1:72,2.5,1.0,0.78,0.0174,0.0011
S72_3212,Pont Yacht,1:72,0.69,0.25,0.17,0.0012,0.0
